gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
2047-38668323-11ba-4474-bd64-92399aa2aadc,director,126000,yes,yes,yes,not much,I wish that it could have lasted longer.  It ended much too soon so I was not able to enjoy it as much as I had hoped.  Thank you for the opportunity!,I wasn't able to use much strategy as the other person disconnected right away.  I was hoping to chat with the person and try to figure out a good way to relay the info.  It didn't last very long unfortunately. 
4676-314524a9-155b-46ac-83db-dd6ef99bf7af,director,146479,yes,yes,yes,not much,,My partner lost their connection so I did not get an opportunity to develop a strategy.
8094-bcee8e29-e81e-493b-beaa-36129925bea0,director,704423,yes,yes,yes,not much,"I wanted to be able to do this HIT, but my partner apparently disconnected after we were paired (after I waited for about 7 minutes in the waiting room).  It says at the top to still complete the survey and submit the HIT, so that's what I'm doing.  I was given the code E2iZwi8d.","I didn't get to use a strategy, because my partner lost their connection."
1042-4cd92598-c59f-4411-b8b6-227e39f9a812,director,1507183,yes,confused,yes,liked,"It would be helpful to have somewhere that I could have rechecked the instructions during the HIT. I know for sure that I couldn't talk about specific boxes but I couldn't remember if I could say things like ""up"" or ""kiddie corner""",I tried to talk about the objects in relation to other objects and the directions those objects had already moved
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,director,608220,yes,yes,yes,loved,no,name of object + direction + number of movements
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,director,900450,yes,yes,yes,liked,This was a fun experiment. It took getting two wrong before I understood the point of them having objects behind curtains. It was fun. I wish all HITS were this fun. ,I told the other player where each item went. Once we got two wrong I realized I had to be more specific in my descriptions of the objects. 
1469-244e5288-7a61-4511-b925-8d1f662f0c24,director,782003,yes,yes,yes,loved,"Thanks, I loved it, I hope I did the HIT to your liking and I hope verbose instructions were not needed (just clear ones).
Also I was a little 'thrown off' by the fact that many of the instructions were already typed.",I wanted to use simple and clear but fast instructions.
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,director,1858868,yes,yes,yes,loved,Tried my very best.,"I kept it short and simple, stuck with using adverbs like up or down. Just followed the directions that i was given and try to be as descriptive as possible when objects were very similar. For example, there were 2 candles on the same grid and tried to distinguish it for my partner by color."
0781-151127b9-9897-445d-81d8-5c05002ec7cc,matcher,331125,yes,yes,yes,okay,,none
5533-1660cf7c-bd49-4065-8100-d998ebe926ac,matcher,703950,yes,yes,yes,loved,no,none
0248-0ddbec25-7e2d-4464-9e98-1ebbc125c4df,matcher,863500,yes,yes,yes,loved,Did I miss something in the directions? I found that the curtains never came into play. :),I read their directions and I followed them. We didn't have to deal with the curtains so it was self-explanatory. 
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,matcher,620323,yes,yes,yes,loved,none,I read where to put the item and then looked for the item and then moved it to where the director told me too.
1469-244e5288-7a61-4511-b925-8d1f662f0c24,matcher,719631,no,yes,yes,loved,fun and interesting,Just paying attention
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,matcher,1217685,yes,yes,yes,liked,no,pay attention 
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,director,568468,yes,yes,yes,liked,No.,Tried to describe the objects as best as possible.
0253-f251d8ba-98a1-42f6-bf50-459c2e0c70dd,matcher,578190,yes,yes,yes,liked,no,did what i was told
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,director,649215,yes,yes,yes,liked,,"basic id of object, plus left or right. Some had multiples (candles), so started to add color to distinguish which."
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,matcher,755470,yes,yes,yes,loved,none,"tried to follow what they said.  Learned that if there were two items that were similar, move the one that is not behind the curtain."
7142-99a3e813-ddef-4df3-9ddc-64c9c196d33c,director,1170622,yes,yes,yes,okay,Why were some of my instruction boxes pre-filled and un-editable? That was very frustrating,to be as descriptive as possible
8947-629a9492-a323-44d4-bd04-4b85b5246f63,matcher,460489,yes,yes,yes,okay,,I followed instructions
7142-99a3e813-ddef-4df3-9ddc-64c9c196d33c,matcher,1147891,yes,yes,yes,okay,Nothing I can think of.,Just followed directions.
7879-6b108512-4ef5-4a09-ba00-34456c55675c,director,135577,yes,yes,yes,okay,,"I looked at the object and went with where the arrow was to move it, I only had one chance becaue my partner dropped the connection"
2388-41d9ba83-3ce4-40be-abe1-1afff9a441fc,matcher,968901,yes,yes,yes,not much,,followed instructions
7329-6db17199-1eaa-4ece-95b4-a3d06e98ae3d,matcher,601827,yes,yes,yes,loved,It was fun.,I would move the object wherever the other person told me too.
4920-4abddfbc-bde8-4fda-b4dc-8865267fd65b,matcher,181148,no,yes,yes,liked,I actually thought it would be a little longer since the rounds listed was 8 and we only played 2. Very fun none the less!,Follow directions specifically and be alert to all surroundings while maintaining knowledge of past events
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,director,590105,yes,yes,yes,okay,no,"I just told them how to move it
"
2482-896fac89-c21a-4239-9064-304ba195a58b,director,1054488,yes,yes,yes,okay,"some audible feedback when the mover finishes their turn would be helpful, is possible. I didn't notice the first time the mover missed a target and thought something was wrong.",I tried to be specific about the object's color or other characteristics since I assume the mover could see two similar objects.
8710-e4a804cd-2869-4e25-b1fe-c0c276bc494c,director,753334,yes,yes,yes,loved,Fun!,At first I described just the item. Then I started describing the color as well. 
4665-31f9dda8-f9f9-4769-96bc-bb8cc935f74b,director,811894,yes,yes,yes,loved,,describe the object as precisely as possible.
4715-4501143e-ea94-4532-9726-05fa3429c32d,director,1213790,yes,yes,yes,liked,,Describe the object and the direction to move it
